year,time_code,country,country_code,co2_emissions,epr_female,epr_male,income_pc,population,pupils_pri_educ,pupils_sec_educ,region
1992,YR1992,Jamaica,JAM,3.134991623,50.22800064,70.62200165,1196.838955,2461049,,,The Carribean
1992,YR1992,Trinidad and Tobago,TTO,15.4871871,39.86800003,72.41300201,3048.636067,1236683,196333,97804,The Carribean
1992,YR1992,United States,USA,19.13943728,52.52099991,68.85199738,21268.94863,256514000,,,North & Central America
1992,YR1992,Mexico,MEX,3.84378479,33.56600189,82.8259964,3461.160742,57580402,4559500,4433500,North & Central America
1992,YR1992,Canada,CAN,15.54314788,51.41899872,64.88700104,16653.95833,87075138,14396993,6704188,North & Central America
1992,YR1992,Guatemala,GTM,0.619819718,37.24700165,84.69100189,957.7319556,28371264,2394115,2337513,North & Central America
1992,YR1992,Honduras,HND,0.586616185,43.68700027,86.24099731,813.9387355,9708544,1340657,,North & Central America
1992,YR1992,Brazil,BRA,1.430744302,39.69900131,77.93800354,2237.743573,5244678,959466,,South America
1992,YR1992,Colombia,COL,1.802576298,44.43899918,78.08200073,1431.996973,154259380,19231504,,South America
1992,YR1992,Argentina,ARG,3.619280358,43.75299835,71.07499695,6183.897764,34422569,4525959,2686515,South America
1992,YR1992,Peru,PER,0.889334779,42.04399872,70.93499756,1394.559978,33529326,,,South America
1992,YR1992,"Venezuela, RB",VEN,5.154891872,43.00299835,72.97200012,2514.122164,22966818,3824660,1703997,South America
1992,YR1992,Australia,AUS,15.31776851,46.81100082,65.86599731,14426.62705,20557683,3282472,1248018,Oceania
1992,YR1992,Papua New Guinea,PNG,0.424612874,68.86699677,70.46600342,606.6604968,17495000,1623012,,Oceania
1992,YR1992,New Zealand,NZL,7.10204151,48.20000076,64.73899841,9134.631769,4836217,443552,69596,Oceania
1992,YR1992,Fiji,FJI,1.004834318,37.8030014,77.10800171,1766.196131,3531700,317286,350112,Oceania
1992,YR1992,Solomon Islands,SLB,0.433379294,79.79000092,82.3030014,672.6864063,744469,121397,91123,Oceania
1992,YR1992,Russian Federation,RUS,13.97997354,55.00099945,71.45899963,1710.765171,329995,53320,6666,Europe
1992,YR1992,Germany,DEU,11.06332025,43.85800171,67.74099731,22369.24403,148689000,7738000,14154465,Europe
1992,YR1992,Turkey,TUR,2.746388165,29.98500061,72.56500244,2381.416404,55748948,6878923,3987423,Europe
1992,YR1992,France,FRA,6.217259025,40.70999908,59.07099915,20388.63705,58851217,4109797,5614894,Europe
1992,YR1992,United Kingdom,GBR,9.660929998,47.98199844,64.06900024,17739.9124,80624598,3438052,7500078,Europe
1993,YR1993,Nigeria,NGA,0.439501188,53.20999908,63.85699844,188.4442851,102700753,15870280,,Africa
1993,YR1993,Ethiopia,ETH,0.056832908,64.17700195,87.33499908,139.2186988,53295566,1855894,720825,Africa
1993,YR1993,"Egypt, Arab Rep.",EGY,1.555702143,16.67900085,66.8809967,664.3341814,59880658,6791128,5515092,Africa
1993,YR1993,"Congo, Dem. Rep.",COD,0.066791532,68.99199677,69.40299988,,38815834,4870933,1218760,Africa
1993,YR1993,South Africa,ZAF,8.100407279,26.96500015,52.4679985,2800.940005,39633750,,,Africa
1993,YR1993,China,CHN,2.442800659,71.20899963,82.21600342,328.7566888,1178440000,122012800,55100000,Asia
1993,YR1993,India,IND,0.780347321,28.82900047,79.61399841,261.8220346,927403860,105370216,62245635,Asia
1993,YR1993,Indonesia,IDN,1.14539966,47.02399826,79.7990036,722.0535067,190851175,29598790,10969305,Asia
1993,YR1993,Pakistan,PAK,0.666242203,14.14799976,82.47200012,402.63592,117086685,,,Asia
1993,YR1993,Bangladesh,BGD,0.157744886,24.62999916,85.82099915,283.6599483,110350639,,,Asia
1993,YR1993,Cuba,CUB,2.723067081,32.17100143,62.90499878,1831.570832,10789306,942431,819712,The Carribean
1993,YR1993,Dominican Republic,DOM,1.558841009,33.06800079,77.18900299,1562.513452,7546463,1122294,,The Carribean
1993,YR1993,Haiti,HTI,0.088963231,53.07099915,71.1780014,244.3547479,7460689,996856,,The Carribean
1993,YR1993,Jamaica,JAM,3.221895764,50.79000092,69.17900085,1923.574541,2484581,333104,235071,The Carribean
1993,YR1993,Trinidad and Tobago,TTO,14.45137969,41.24499893,71.20999908,2648.277024,1243616,197030,100278,The Carribean
1993,YR1993,United States,USA,19.34708291,52.86299896,69.08999634,21976.50352,259919000,,,North & Central America
1993,YR1993,Mexico,MEX,3.830377124,34.51699829,83.11499786,4774.89739,57718614,,4868593,North & Central America
1993,YR1993,Canada,CAN,15.5337111,50.97100067,64.47200012,16080.58097,88625440,14425669,6782886,North & Central America
1993,YR1993,Guatemala,GTM,0.569308416,37.51200104,84.44000244,1026.905048,28684764,2399224,2402531,North & Central America
1993,YR1993,Honduras,HND,0.528187131,44.20800018,85.96499634,814.4903313,9938692,1393921,334383,North & Central America
1993,YR1993,Brazil,BRA,1.471087009,41.19900131,77.71600342,2390.473561,5394412,990352,203192,South America
1993,YR1993,Colombia,COL,1.824446476,45.92100143,79.33899689,1629.668756,156849078,19410183,,South America
1993,YR1993,Argentina,ARG,3.471494485,41.69300079,69.13600159,6352.534074,35091275,4599132,2829435,South America
1993,YR1993,Peru,PER,1.00885799,42.99900055,72.09999847,1327.240146,33970111,,,South America
1993,YR1993,"Venezuela, RB",VEN,5.918663936,43.7159996,73.78700256,2433.576927,23408131,3913601,1719854,South America
1993,YR1993,Australia,AUS,15.7014518,46.57899857,65.21900177,13911.91536,21016901,3287287,1286046,Oceania
1993,YR1993,Papua New Guinea,PNG,0.403076873,68.00700378,69.40200043,644.3502886,17667000,1633797,2029407,Oceania
1993,YR1993,New Zealand,NZL,7.471145513,48.53099823,65.37200165,10140.30627,4949051,478040,77665,Oceania
1993,YR1993,Fiji,FJI,0.995724294,37.75099945,76.93800354,1873.628398,3572200,322984,376947,Oceania
1993,YR1993,Solomon Islands,SLB,0.421240987,79.76200104,82.16300201,644.473309,754963,,,Oceania
1993,YR1993,Russian Federation,RUS,13.05174975,52.85900116,69.16999817,1556.309996,339504,57264,7351,Europe
1993,YR1993,Germany,DEU,10.81424893,42.90200043,65.77700043,21456.94022,148520000,7797000,14079246,Europe
1993,YR1993,Turkey,TUR,2.808934048,24.11599922,71.00700378,2671.486783,56653804,6707725,4299810,Europe
1993,YR1993,France,FRA,6.089252757,40.81700134,57.66600037,19121.74285,59106768,4060408,5573582,Europe
1993,YR1993,United Kingdom,GBR,9.454695828,47.8429985,62.45299911,15987.16279,81156363,3582582,7933806,Europe
1994,YR1994,Nigeria,NGA,0.334298567,53.23699951,63.59199905,247.5996792,105293700,16190947,,Africa
1994,YR1994,Ethiopia,ETH,0.040603416,64.22499847,87.26499939,96.255678,55180998,2283638,723009,Africa
1994,YR1994,"Egypt, Arab Rep.",EGY,1.396376664,17.21100044,67.9960022,740.4409851,61095804,7732308,6133308,Africa
1994,YR1994,"Congo, Dem. Rep.",COD,0.040721189,69.01000214,69.54499817,105.5748276,40252975,4939297,1341446,Africa
1994,YR1994,South Africa,ZAF,8.361297473,27.14500046,52.08800125,2835.895982,40564059,7971770,3571395,Africa
1994,YR1994,China,CHN,2.565993892,70.94200134,82.01100159,411.9795057,1191835000,124212400,55548100,Asia
1994,YR1994,India,IND,0.80872395,28.95299911,79.55200195,302.8441505,945601831,108200539,64115978,Asia
1994,YR1994,Indonesia,IDN,1.141792274,46.91899872,79.77899933,809.8899057,193917462,29876196,11360349,Asia
1994,YR1994,Pakistan,PAK,0.704866776,14.52299976,82.83599854,393.0754842,120362762,,,Asia
1994,YR1994,Bangladesh,BGD,0.168261317,24.86100006,85.66500092,283.7768222,112737683,,,Asia
1994,YR1994,Cuba,CUB,2.975292804,32.07699966,63.48099899,2314.12534,10838462,983459,725800,The Carribean
1994,YR1994,Dominican Republic,DOM,1.623582732,33.15000153,77.14199829,1740.608691,7683707,1121819,425216,The Carribean
1994,YR1994,Haiti,HTI,0.039552926,53.10200119,70.34200287,278.6016357,7602320,1090366,,The Carribean
1994,YR1994,Jamaica,JAM,3.26648248,51.52000046,69.77500153,1838.405276,2509043,,,The Carribean
1994,YR1994,Trinidad and Tobago,TTO,13.9575613,42.15100098,72.50800323,2878.486605,1249520,195013,,The Carribean
1994,YR1994,United States,USA,19.36089205,54.13199997,69.65200043,23204.83114,263126000,,,North & Central America
1994,YR1994,Mexico,MEX,3.912978646,34.6609993,81.45300293,4949.660632,57865745,,4938261,North & Central America
1994,YR1994,Canada,CAN,15.75307185,51.31499863,65.04000092,15938.45838,90156400,14469450,6977086,North & Central America
1994,YR1994,Guatemala,GTM,0.67231177,37.80699921,84.26200104,1137.118206,29000663,2400819,2455427,North & Central America
1994,YR1994,Honduras,HND,0.601368545,43.95000076,86.08300018,744.6391378,10172297,1412720,357878,North & Central America
1994,YR1994,Brazil,BRA,1.518847687,42.25,77.19599915,2947.960751,5548960,1008181,,South America
1994,YR1994,Colombia,COL,1.889645926,45.77500153,79.46399689,1999.69284,159432716,19930484,,South America
